iter	Passed	Remaining
1197	53559	35855
1198	53597	35805
1199	53638	35759
1200	53667	35703
1201	53699	35650
1202	53734	35599
1203	53766	35546
1204	53810	35501
1205	53843	35449
1206	53879	35398
1207	53919	35351
1208	53963	35306
1209	54008	35261
1210	54049	35214
1211	54086	35165
1212	54129	35119
1213	54178	35077
1214	54218	35030
1215	54259	34982
1216	54299	34935
1217	54330	34881
1218	54369	34833
1219	54405	34783
1220	54443	34734
1221	54483	34687
1222	54526	34641
1223	54562	34591
1224	54604	34545
1225	54644	34498
1226	54684	34451
1227	54718	34399
1228	54756	34350
1229	54789	34299
1230	54824	34248
1231	54858	34197
1232	54893	34147
1233	54931	34098
1234	54977	34054
1235	55028	34014
1236	55074	33970
1237	55113	33922
1238	55157	33878
1239	55204	33835
1240	55253	33793
1241	55294	33746
1242	55333	33698
1243	55376	33653
1244	55412	33603
1245	55446	33552
1246	55487	33506
1247	55526	33458
1248	55561	33408
1249	55602	33361
1250	55633	33308
1251	55667	33258
1252	55703	33208
1253	55737	33158
1254	55778	33111
1255	55816	33063
1256	55856	33016
1257	55895	32968
1258	55936	32922
1259	55978	32876
1260	56017	32828
1261	56052	32778
1262	56095	32733
1263	56137	32687
1264	56178	32641
1265	56210	32589
1266	56244	32539
1267	56284	32492
1268	56320	32442
1269	56359	32395
1270	56393	32345
1271	56433	32298
1272	56473	32251
1273	56506	32200
1274	56547	32154
1275	56592	32110
1276	56634	32064
1277	56671	32016
1278	56700	31963
1279	56737	31914
1280	56777	31867
1281	56812	31818
1282	56853	31772
1283	56889	31723
1284	56929	31676
1285	56967	31628
1286	56996	31576
1287	57026	31523
1288	57060	31473
1289	57094	31424
1290	57130	31375
1291	57173	31330
1292	57208	31281
1293	57246	31233
1294	57284	31185
1295	57319	31136
1296	57357	31088
1297	57390	31038
1298	57423	30988
1299	57459	30939
1300	57492	30889
1301	57525	30839
1302	57569	30795
1303	57605	30746
1304	57645	30699
1305	57687	30654
1306	57780	30636
1307	57832	30596
1308	57870	30549
1309	57906	30500
1310	57939	30450
1311	57975	30401
1312	58023	30359
1313	58062	30312
1314	58101	30265
1315	58135	30216
1316	58174	30169
1317	58212	30122
1318	58249	30074
1319	58290	30028
1320	58332	29983
1321	58370	29936
1322	58409	29889
1323	58448	29842
1324	58489	29796
1325	58522	29746
1326	58562	29700
1327	58601	29653
1328	58641	29607
1329	58674	29557
1330	58718	29513
1331	58767	29472
1332	58812	29428
1333	58860	29385
1334	58902	29340
1335	58948	29297
1336	58993	29254
1337	59044	29213
1338	59088	29169
1339	59132	29124
1340	59178	29081
1341	59218	29035
1342	59254	28987
1343	59290	28939
1344	59325	28891
1345	59370	28847
1346	59411	28801
1347	59449	28754
1348	59484	28705
1349	59514	28655
1350	59555	28609
1351	59599	28565
1352	59635	28517
1353	59667	28467
1354	59710	28422
1355	59748	28375
1356	59774	28323
1357	59809	28275
1358	59848	28228
1359	59889	28183
1360	59935	28140
1361	59977	28095
1362	60021	28050
1363	60052	28001
1364	60097	27957
1365	60136	27911
1366	60181	27867
1367	60236	27828
1368	60278	27783
1369	60319	27737
1370	60364	27694
1371	60404	27648
1372	60450	27605
1373	60489	27559
1374	60523	27510
1375	60557	27462
1376	60597	27416
1377	60635	27369
1378	60670	27321
1379	60708	27274
1380	60747	27228
1381	60779	27179
1382	60824	27135
1383	60861	27088
1384	60900	27042
1385	60930	26992
1386	60967	26945
1387	61006	26899
1388	61036	26848
1389	61071	26801
1390	61108	26754
1391	61138	26704
1392	61178	26658
1393	61229	26617
1394	61263	26569
1395	61303	26523
1396	61338	26476
1397	61373	26428
1398	61402	26378
1399	61439	26331
1400	61483	26287
1401	61529	26244
1402	61561	26195
1403	61608	26153
1404	61650	26108
1405	61683	26059
1406	61728	26016
1407	61769	25971
1408	61804	25923
1409	61846	25878
1410	61879	25830
1411	61918	25784
1412	61958	25739
1413	62006	25697
1414	62050	25653
1415	62092	25608
1416	62131	25562
1417	62161	25513
1418	62204	25469
1419	62242	25422
1420	62281	25377
1421	62324	25333
1422	62368	25289
1423	62410	25244
1424	62447	25198
1425	62474	25147
1426	62510	25100
1427	62545	25053
1428	62580	25006
1429	62618	24959
1430	62660	24915
1431	62705	24871
1432	62754	24830
1433	62871	24815
1434	62913	24770
1435	62955	24726
1436	63007	24685
1437	63062	24645
1438	63096	24598
1439	63138	24554
1440	63179	24509
1441	63210	24460
1442	63245	24412
1443	63282	24366
1444	63322	24320
1445	63368	24277
1446	63405	24231
1447	63445	24186
1448	63481	24139
1449	63524	24095
1450	63564	24050
1451	63605	24005
1452	63647	23961
1453	63688	23915
1454	63722	23868
1455	63761	23822
1456	63804	23778
1457	63846	23734
1458	63887	23689
1459	63926	23644
1460	63968	23599
1461	64005	23553
1462	64037	23505
1463	64072	23458
1464	64111	23412
1465	64150	23367
1466	64182	23319
1467	64230	23277
1468	64256	23226
1469	64290	23179
1470	64334	23136
1471	64372	23090
1472	64415	23046
1473	64456	23001
1474	64491	22954
1475	64533	22910
1476	64563	22861
1477	64593	22813
1478	64632	22767
1479	64664	22719
1480	64705	22675
1481	64738	22627
1482	64776	22582
1483	64816	22537
1484	64866	22495
1485	64903	22449
1486	64937	22402
1487	64977	22357
1488	65017	22312
1489	65056	22267
1490	65095	22222
1491	65129	22175
1492	65169	22130
1493	65211	22086
1494	65249	22040
1495	65286	21995
1496	65329	21951
1497	65367	21905
1498	65400	21858
1499	65447	21815
1500	65480	21768
1501	65518	21723
1502	65564	21680
1503	65595	21632
1504	65633	21587
1505	65672	21541
1506	65707	21495
1507	65748	21450
1508	65787	21405
1509	65820	21359
1510	65862	21314
1511	65905	21270
1512	65942	21225
1513	65987	21182
1514	66030	21138
1515	66080	21096
1516	66120	21052
1517	66160	21007
1518	66200	20962
1519	66237	20917
1520	66282	20873
1521	66318	20828
1522	66354	20781
1523	66396	20738
1524	66438	20694
1525	66477	20649
1526	66517	20604
1527	66550	20557
1528	66581	20510
1529	66623	20466
1530	66654	20418
1531	66692	20373
1532	66733	20329
1533	66781	20287
1534	66833	20245
1535	66883	20204
1536	66922	20159
1537	66967	20116
1538	67000	20069
1539	67038	20024
1540	67082	19981
1541	67129	19938
1542	67169	19894
1543	67209	19849
1544	67256	19807
1545	67294	19761
1546	67338	19718
1547	67375	19673
1548	67422	19630
1549	67468	19587
1550	67509	19543
1551	67542	19496
1552	67576	19450
1553	67609	19403
1554	67655	19361
1555	67696	19316
1556	67734	19271
1557	67774	19227
1558	67807	19181
1559	67846	19136
1560	67888	19092
1561	67933	19049
1562	67976	19005
1563	68011	18959
1564	68051	18915
1565	68091	18870
1566	68129	18825
1567	68168	18781
1568	68209	18736
1569	68241	18690
1570	68278	18645
1571	68318	18600
1572	68358	18556
1573	68398	18512
1574	68435	18466
1575	68484	18424
1576	68517	18378
1577	68554	18333
1578	68597	18289
1579	68639	18245
1580	68679	18201
1581	68714	18155
1582	68752	18111
1583	68795	18067
1584	68830	18021
1585	68865	17976
1586	68904	17931
1587	68945	17887
1588	68985	17843
1589	69032	17800
1590	69072	17756
1591	69119	17714
1592	69159	17669
1593	69200	17625
1594	69234	17580
1595	69266	17533
1596	69301	17488
1597	69343	17444
1598	69378	17398
